대여반납번호,회원ID,도서코드,대여일,반납예정일,반납연기여부,반납일,연체여부
1,ku23324@naver.com,0902.001-1,2018.10.11,2018.10.26,0,2018.10.26,0
2,rekl3@gamil.com,0902.002-1,2018.10.12,2018.10.27,0,2018.10.27,0
3,ferw2@naver.com,0902.003-1,2018.10.13,2018.10.28,0,2018.10.28,0
4,rwe232@gamil.com,0902.004-1,2018.10.14,2018.11.08,1,2018.11.18,1
5,ya2354fr@yahoo.com,0902.005-1,2018.10.15,2018.10.30,0,2018.10.30,0
6,sdksdl@daum.net,0902.006-1,2018.10.16,2018.10.31,0,2018.10.31,0
7,fivestar@nate.com,0902.007-1,2018.10.17,2018.11.01,0,2018.11.01,0
8,sam223@naver.com,0902.008-1,2018.10.18,2018.11.12,1,2018.11.30,1
9,ddr23dd@naver.com,0902.009-1,2018.10.19,2018.11.03,0,2018.11.03,0
10,samson28345@gmail.com,0902.010-1,2018.10.20,2018.11.04,0,2018.11.04,0
11,fdfsdasd@naver.com,0902.011-1,2018.10.21,2018.11.05,0,2018.11.05,0
12,ggg243r4@gmail.com,0902.012-1,2018.10.22,2018.11.06,0,2018.11.06,0
13,sexybot@naver.com,0902.013-1,2018.10.23,2018.11.17,1,2018.11.30,1
14,gfdssdh@naver.com,0902.014-1,2018.10.24,2018.11.08,0,2018.11.08,0
15,ssdfr@daum.net,0902.015-1,2018.10.25,2018.11.09,0,2018.11.09,0
16,ssssrr3@yahoo.com,0902.016-1,2018.10.26,2018.11.10,0,2018.11.10,0
17,fddrewe@gmail.com,0902.017-1,2018.10.27,2018.11.21,1,2018.11.21,0
18,dsjlreew@gmail.com,0902.018-1,2018.10.28,2018.11.12,0,2018.11.17,1
19,dsslsd@gmail.com,0902.019-1,2018.10.29,2018.11.13,0,2018.11.13,0
20,fsdshfdjkfsd@naver.com,0902.020-1,2018.10.30,2018.11.24,1,2018.11.24,0
21,mamatellme@gmail.com,0902.021-1,2018.10.31,2018.11.15,0,2018.11.15,0
22,daddystop@gmail.com,0902.022-1,2019.03.01,2019.03.16,0,2019.03.16,0
23,phonehu@gmail.com,0902.023-1,2019.03.02,2019.03.17,0,2019.03.17,0
24,ddongtree@naver.com,0902.024-1,2019.03.03,2019.03.18,0,2019.03.20,1
25,sangjiman@gmail.com,0902.025-1,2019.03.04,2019.03.29,1,2019.03.29,0
26,fivetenda@yahoo.com,0902.026-1,2019.03.05,2019.03.20,0,2019.03.20,0
27,friendlyship12@gmail.com,0902.027-1,2019.03.06,2019.03.21,0,2019.03.21,0
28,sdsrr@naver.com,0902.028-1,2019.03.07,2019.03.22,0,2019.03.22,0
29,gotdog24@naver.com,0902.029-1,2019.03.08,2019.04.02,1,2019.04.22,1
30,mamatellme@gmail.com,0902.030-1,2019.03.09,2019.03.24,0,2019.03.24,0
31,daddystop@gmail.com,0902.031-1,2019.03.10,2019.03.25,0,2019.03.25,0
32,phonehu@gmail.com,0902.032-1,2019.03.11,2019.03.26,0,2019.03.26,0
33,ddongtree@naver.com,0902.033-1,2019.03.12,2019.03.27,0,2019.03.27,0
34,sangjiman@gmail.com,0902.034-1,2019.03.13,2019.04.07,1,2019.04.17,1
35,fivetenda@yahoo.com,0902.035-1,2019.03.14,2019.03.29,0,2019.03.29,0
36,friendlyship12@gmail.com,0902.036-1,2019.03.15,2019.03.30,0,2019.03.30,0
37,sdsrr@naver.com,0902.037-1,2019.03.16,2019.04.10,1,2019.04.10,0
38,gotdog24@naver.com,0902.038-1,2019.03.17,2019.04.01,0,2019.04.01,0
39,mamatellme@gmail.com,0902.039-1,2019.03.18,2019.04.02,0,2019.04.03,1
40,daddystop@gmail.com,0902.040-1,2019.03.19,2019.04.03,0,2019.04.03,0
41,phonehu@gmail.com,0902.001-1,2019.03.20,2019.04.04,0,2019.04.04,0
42,ddongtree@naver.com,0902.002-1,2019.03.21,2019.04.15,1,2019.04.15,0
43,sangjiman@gmail.com,0902.003-1,2019.03.22,2019.04.06,0,2019.04.06,0
44,fivetenda@yahoo.com,0902.004-1,2019.03.23,2019.04.07,0,2019.04.09,1
45,friendlyship12@gmail.com,0902.005-1,2019.03.24,2019.04.08,0,2019.04.08,0
46,sdsrr@naver.com,0902.006-1,2019.03.25,2019.04.19,1,2019.04.19,0
47,gotdog24@naver.com,0902.007-1,2019.03.26,2019.04.10,0,2019.04.10,0
48,fdfsdasd@naver.com,0902.008-1,2019.03.27,2019.04.11,0,2019.04.11,0
49,ggg243r4@gmail.com,0902.009-1,2019.03.28,2019.04.12,0,2019.04.24,1
