대여반납번호,회원 ID,도서코드,대여일,반납예정일,반납연기여부,반납일,연체여부,연체일
1,ku23324@naver.com,A090251,2018.10.11,2018.10.26,0,2018.10.26,0,0
2,rekl3@gamil.com,A090252,2018.10.12,2018.10.27,0,2018.10.27,0,0
3,ferw2@naver.com,A090253,2018.10.13,2018.10.28,0,2018.10.28,0,0
4,rwe232@gamil.com,A090254,2018.10.14,2018.11.08,1,2018.11.18,1,10
5,ya2354fr@yahoo.com,A090255,2018.10.15,2018.10.30,0,2018.10.30,0,0
6,sdksdl@daum.net,A090256,2018.10.16,2018.10.31,0,2018.10.31,0,0
7,fivestar@nate.com,A090257,2018.10.17,2018.11.01,0,2018.11.01,0,0
8,sam223@naver.com,A090258,2018.10.18,2018.11.12,1,2018.11.30,1,18
9,ddr23dd@naver.com,A090259,2018.10.19,2018.11.03,0,2018.11.03,0,0
10,samson28345@gmail.com,A090260,2018.10.20,2018.11.04,0,2018.11.04,0,0
11,fdfsdasd@naver.com,A090261,2018.10.21,2018.11.05,0,2018.11.05,0,0
12,ggg243r4@gmail.com,A090262,2018.10.22,2018.11.06,0,2018.11.06,0,0
13,sexybot@naver.com,A090263,2018.10.23,2018.11.17,1,2018.11.30,1,13
14,gfdssdh@naver.com,A090264,2018.10.24,2018.11.08,0,2018.11.08,0,0
15,ssdfr@daum.net,A090265,2018.10.25,2018.11.09,0,2018.11.09,0,0
16,ssssrr3@yahoo.com,A090266,2018.10.26,2018.11.10,0,2018.11.10,0,0
17,fddrewe@gmail.com,A090267,2018.10.27,2018.11.21,1,2018.11.21,0,0
18,dsjlreew@gmail.com,A090268,2018.10.28,2018.11.12,0,2018.11.17,1,5
19,dsslsd@gmail.com,A090269,2018.10.29,2018.11.13,0,2018.11.13,0,0
20,fsdshfdjkfsd@naver.com,A090270,2018.10.30,2018.11.24,1,2018.11.24,0,0
21,mamatellme@gmail.com,A090271,2018.10.31,2018.11.15,0,2018.11.15,0,0
22,daddystop@gmail.com,A090272,2019.03.01,2019..03.16,0,2019..03.16,0,0
23,phonehu@gmail.com,A090273,2019.03.02,2019..03.17,0,2019..03.17,0,0
24,ddongtree@naver.com,A090274,2019.03.03,2019..03.18,0,2019..03.20,1,2
25,sangjiman@gmail.com,A090275,2019.03.04,2019..03.29,1,2019..03.29,0,0
26,fivetenda@yahoo.com,A090276,2019.03.05,2019..03.20,0,2019..03.20,0,0
27,friendlyship12@gmail.com,A090277,2019.03.06,2019..03.21,0,2019..03.21,0,0
28,sdsrr@naver.com,A090278,2019.03.07,2019..03.22,0,2019..03.22,0,0
29,gotdog24@naver.com,A090279,2019.03.08,2019.04.02,1,2019.04.22,1,20
30,mamatellme@gmail.com,A090280,2019.03.09,2019..03.24,0,2019..03.24,0,0
